Layer name,WBUF access,IBUF access,OBUF access,BBUF access,VMEM access,IMM access,InsMem access,DRAM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
Convolution,335380.5,19208.0,304192.0,3136.0,0,0,0,24.5,2229.065088757396,0.0,3136.0,0.25,5389.815088757396,2467531,1468.0,0,0,2468999.0,1258815488.0
ReLU,0,0.0,0.0,0,6272.0,196.0,196.0,0.0,3136.0,0.0,3136.0,0,6272.0,0,0,51456,401408.0,452864.0,802816.0
MaxPool,0,0.0,0.0,0,20482.0,0.0,441.0,0.0,3364.0,0.0,98.0,0,3462.0,0,0,114176,221568.0,335744.0,1806336.0
Convolution,6272.0,392.0,5488.0,784.0,0,0,0,2.0,98.0,0.0,784.0,0.25,884.25,50656,3528.0,0,0,54184.0,25690112.0
ReLU,0,0.0,0.0,0,882.0,49.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12864,56448.0,69312.0,200704.0
Convolution,56448.0,3528.0,55664.0,784.0,0,0,0,18.0,512.0,0.0,784.0,0.25,1314.25,453504,1368.0,0,0,454872.0,231211008.0
ReLU,0,0.0,0.0,0,882.0,49.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12864,56448.0,69312.0,200704.0
Convolution,25088.0,1960.0,21952.0,3136.0,0,0,0,8.0,392.0,0.0,3136.0,1.0,3537.0,202240,4312.0,0,0,206552.0,102760448.0
Convolution,25088.0,1960.0,21952.0,3136.0,0,0,0,8.0,392.0,0.0,3136.0,1.0,3537.0,202240,4312.0,0,0,206552.0,102760448.0
ElemAdd,0,0.0,0.0,0,9408.0,0.0,196.0,0.0,6272.0,0.0,3136.0,0,9408.0,0,0,51456,602112.0,653568.0,802816.0
ReLU,0,0.0,0.0,0,3528.0,196.0,196.0,0.0,3136.0,0.0,392.0,0,3528.0,0,0,51456,225792.0,277248.0,802816.0
Convolution,25088.0,1568.0,24304.0,784.0,0,0,0,8.0,392.0,0.0,784.0,0.25,1184.25,202174,2080.0,0,0,204254.0,102760448.0
ReLU,0,0.0,0.0,0,882.0,49.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12864,56448.0,69312.0,200704.0
Convolution,56448.0,3528.0,55664.0,784.0,0,0,0,18.0,512.0,0.0,784.0,0.25,1314.25,453504,1368.0,0,0,454872.0,231211008.0
ReLU,0,0.0,0.0,0,882.0,49.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12864,56448.0,69312.0,200704.0
Convolution,25088.0,1960.0,21952.0,3136.0,0,0,0,8.0,392.0,0.0,3136.0,1.0,3537.0,202240,4312.0,0,0,206552.0,102760448.0
ElemAdd,0,0.0,0.0,0,9408.0,0.0,196.0,0.0,6272.0,0.0,3136.0,0,9408.0,0,0,51456,602112.0,653568.0,802816.0
ReLU,0,0.0,0.0,0,3528.0,196.0,196.0,0.0,3136.0,0.0,392.0,0,3528.0,0,0,51456,225792.0,277248.0,802816.0
