Layer name,WBUF access,IBUF access,OBUF access,BBUF access,VMEM access,IMM access,InsMem access,DRAM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
Convolution,42928704.0,2458624.0,9734144.0,100352.0,0,0,0,98.0,285320.3313609467,0.0,100352.0,0.25,385770.5813609467,78960992,2598.0,0,0,78963590.0,40282095616.0
MeanIstd,0,0.0,0.0,0,903172.0,0.5,18816.09375,0.0,100352.0,0.0,0.5,0,100352.5,0,0,8069248,3211280.0,11280528.0,77071872.0
BatchNorm,0,0.0,0.0,0,1204224.0,0.0,25088.0,0.0,100353.0,0.0,100352.0,0,200705.0,0,0,16097280,6422560.0,22519840.0,102760448.0
ReLU,0,0.0,0.0,0,200704.0,6272.0,6272.0,0.0,100352.0,0.0,100352.0,0,200704.0,0,0,1646592,6422528.0,8069120.0,25690112.0
MaxPool,0,0.0,0.0,0,664832.0,0.0,14112.0,0.0,107648.0,0.0,12544.0,0,120192.0,0,0,3653632,3846144.0,7499776.0,57802752.0
Convolution,802816.0,50176.0,175616.0,25088.0,0,0,0,8.0,12544.0,0.0,25088.0,0.25,37640.25,1620992,4704.0,0,0,1625696.0,822083584.0
MeanIstd,0,0.0,0.0,0,225796.0,0.5,4704.09375,0.0,25088.0,0.0,0.5,0,25088.5,0,0,2017408,802832.0,2820240.0,19269120.0
BatchNorm,0,0.0,0.0,0,301056.0,0.0,6272.0,0.0,25089.0,0.0,25088.0,0,50177.0,0,0,4024320,1605664.0,5629984.0,25690112.0
ReLU,0,0.0,0.0,0,37632.0,1568.0,1568.0,0.0,25088.0,0.0,12544.0,0,37632.0,0,0,411648,1204224.0,1615872.0,6422528.0
Convolution,7225344.0,451584.0,1781248.0,25088.0,0,0,0,72.0,65536.0,0.0,25088.0,0.25,90696.25,14512128,2832.0,0,0,14514960.0,7398752256.0
MeanIstd,0,0.0,0.0,0,225796.0,0.5,4704.09375,0.0,25088.0,0.0,0.5,0,25088.5,0,0,2017408,802832.0,2820240.0,19269120.0
BatchNorm,0,0.0,0.0,0,301056.0,0.0,6272.0,0.0,25089.0,0.0,25088.0,0,50177.0,0,0,4024320,1605664.0,5629984.0,25690112.0
ReLU,0,0.0,0.0,0,37632.0,1568.0,1568.0,0.0,25088.0,0.0,12544.0,0,37632.0,0,0,411648,1204224.0,1615872.0,6422528.0
Convolution,3211264.0,250880.0,702464.0,100352.0,0,0,0,32.0,50176.0,0.0,100352.0,1.0,150561.0,6471680,5488.0,0,0,6477168.0,3288334336.0
MeanIstd,0,0.0,0.0,0,903184.0,2.0,18816.375,0.0,100352.0,0.0,2.0,0,100354.0,0,0,8069632,3211328.0,11280960.0,77076480.0
BatchNorm,0,0.0,0.0,0,1154048.0,0.0,25088.0,0.0,100356.0,0.0,50176.0,0,150532.0,0,0,16097280,4817024.0,20914304.0,102760448.0
Convolution,3211264.0,250880.0,702464.0,100352.0,0,0,0,32.0,50176.0,0.0,100352.0,1.0,150561.0,6471680,5488.0,0,0,6477168.0,3288334336.0
MeanIstd,0,0.0,0.0,0,903184.0,2.0,18816.375,0.0,100352.0,0.0,2.0,0,100354.0,0,0,8069632,3211328.0,11280960.0,77076480.0
BatchNorm,0,0.0,0.0,0,1204224.0,0.0,25088.0,0.0,100356.0,0.0,100352.0,0,200708.0,0,0,16097280,6422656.0,22519936.0,102760448.0
ElemAdd,0,0.0,0.0,0,301056.0,0.0,6272.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,1646592,9633792.0,11280384.0,25690112.0
ReLU,0,0.0,0.0,0,150528.0,6272.0,6272.0,0.0,100352.0,0.0,50176.0,0,150528.0,0,0,1646592,4816896.0,6463488.0,25690112.0
Convolution,3211264.0,200704.0,777728.0,25088.0,0,0,0,32.0,50176.0,0.0,25088.0,0.25,75296.25,6469568,3072.0,0,0,6472640.0,3288334336.0
MeanIstd,0,0.0,0.0,0,225796.0,0.5,4704.09375,0.0,25088.0,0.0,0.5,0,25088.5,0,0,2017408,802832.0,2820240.0,19269120.0
BatchNorm,0,0.0,0.0,0,301056.0,0.0,6272.0,0.0,25089.0,0.0,25088.0,0,50177.0,0,0,4024320,1605664.0,5629984.0,25690112.0
ReLU,0,0.0,0.0,0,37632.0,1568.0,1568.0,0.0,25088.0,0.0,12544.0,0,37632.0,0,0,411648,1204224.0,1615872.0,6422528.0
Convolution,7225344.0,451584.0,1781248.0,25088.0,0,0,0,72.0,65536.0,0.0,25088.0,0.25,90696.25,14512128,2832.0,0,0,14514960.0,7398752256.0
MeanIstd,0,0.0,0.0,0,225796.0,0.5,4704.09375,0.0,25088.0,0.0,0.5,0,25088.5,0,0,2017408,802832.0,2820240.0,19269120.0
BatchNorm,0,0.0,0.0,0,301056.0,0.0,6272.0,0.0,25089.0,0.0,25088.0,0,50177.0,0,0,4024320,1605664.0,5629984.0,25690112.0
ReLU,0,0.0,0.0,0,37632.0,1568.0,1568.0,0.0,25088.0,0.0,12544.0,0,37632.0,0,0,411648,1204224.0,1615872.0,6422528.0
Convolution,3211264.0,250880.0,702464.0,100352.0,0,0,0,32.0,50176.0,0.0,100352.0,1.0,150561.0,6471680,5488.0,0,0,6477168.0,3288334336.0
MeanIstd,0,0.0,0.0,0,903184.0,2.0,18816.375,0.0,100352.0,0.0,2.0,0,100354.0,0,0,8069632,3211328.0,11280960.0,77076480.0
