Layer name,WBUF access,IBUF access,OBUF access,BUBF access,VMEM access,IMM access,InsMem access,DARM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
Convolution,307328.0,19208.0,304192.0,3136.0,0,0,0,24.5,1433.25,37632.0,3136.0,0.25,42226.0,2505664,262112.0,0,0,2767776.0,1258815488.0
ReLU,0,0.0,0.0,0,6272.0,196.0,196.0,0.0,3136.0,0.0,3136.0,0,6272.0,0,0,50816,401408.0,452224.0,802816.0
MaxPool,0,0.0,0.0,0,20482.0,0.0,441.0,0.0,3955.0,0.0,98.0,0,4053.0,0,0,113456,259392.0,372848.0,1806336.0
Convolution,6272.0,392.0,5488.0,784.0,0,0,0,2.0,98.0,0.0,784.0,0.25,884.25,51856,1184.0,0,0,53040.0,25690112.0
ReLU,0,0.0,0.0,0,882.0,98.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,56448.0,3528.0,55664.0,784.0,0,0,0,18.0,304.5,3136.0,784.0,0.25,4242.75,456624,1696.0,0,0,458320.0,231211008.0
ReLU,0,0.0,0.0,0,882.0,98.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,25088.0,1568.0,21952.0,3136.0,0,0,0,8.0,392.0,0.0,3136.0,1.0,3537.0,207424,1184.0,0,0,208608.0,102760448.0
Convolution,25088.0,1568.0,21952.0,3136.0,0,0,0,8.0,392.0,0.0,3136.0,1.0,3537.0,207424,1184.0,0,0,208608.0,102760448.0
ElemAdd,0,0.0,0.0,0,9408.0,0.0,196.0,0.0,6272.0,0.0,3136.0,0,9408.0,0,0,50736,602112.0,652848.0,802816.0
ReLU,0,0.0,0.0,0,3528.0,392.0,196.0,0.0,3136.0,0.0,392.0,0,3528.0,0,0,50816,225792.0,276608.0,802816.0
Convolution,25088.0,1568.0,24304.0,784.0,0,0,0,8.0,392.0,0.0,784.0,0.25,1184.25,202384,1952.0,0,0,204336.0,102760448.0
ReLU,0,0.0,0.0,0,882.0,98.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,56448.0,3528.0,55664.0,784.0,0,0,0,18.0,304.5,3136.0,784.0,0.25,4242.75,456624,1696.0,0,0,458320.0,231211008.0
ReLU,0,0.0,0.0,0,882.0,98.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,25088.0,1568.0,21952.0,3136.0,0,0,0,8.0,392.0,0.0,3136.0,1.0,3537.0,207424,1184.0,0,0,208608.0,102760448.0
ElemAdd,0,0.0,0.0,0,9408.0,0.0,196.0,0.0,6272.0,0.0,3136.0,0,9408.0,0,0,50736,602112.0,652848.0,802816.0
ReLU,0,0.0,0.0,0,3528.0,392.0,196.0,0.0,3136.0,0.0,392.0,0,3528.0,0,0,50816,225792.0,276608.0,802816.0
Convolution,25088.0,1568.0,24304.0,784.0,0,0,0,8.0,392.0,0.0,784.0,0.25,1184.25,202384,1952.0,0,0,204336.0,102760448.0
ReLU,0,0.0,0.0,0,882.0,98.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,56448.0,3528.0,55664.0,784.0,0,0,0,18.0,304.5,3136.0,784.0,0.25,4242.75,456624,1696.0,0,0,458320.0,231211008.0
ReLU,0,0.0,0.0,0,882.0,98.0,49.0,0.0,784.0,0.0,98.0,0,882.0,0,0,12704,56448.0,69152.0,200704.0
Convolution,25088.0,1568.0,21952.0,3136.0,0,0,0,8.0,392.0,0.0,3136.0,1.0,3537.0,207424,1184.0,0,0,208608.0,102760448.0
ElemAdd,0,0.0,0.0,0,9408.0,0.0,196.0,0.0,6272.0,0.0,3136.0,0,9408.0,0,0,50736,602112.0,652848.0,802816.0
ReLU,0,0.0,0.0,0,3528.0,392.0,196.0,0.0,3136.0,0.0,392.0,0,3528.0,0,0,50816,225792.0,276608.0,802816.0
Convolution,50176.0,3136.0,48608.0,1568.0,0,0,0,16.0,784.0,0.0,1568.0,0.5,2368.5,404768,1952.0,0,0,406720.0,205520896.0
ReLU,0,0.0,0.0,0,1764.0,196.0,98.0,0.0,1568.0,0.0,196.0,0,1764.0,0,0,25408,112896.0,138304.0,401408.0
Convolution,56448.0,3528.0,56056.0,392.0,0,0,0,72.0,897.75,1568.0,392.0,0.5,2930.25,454104,2464.0,0,0,456568.0,231211008.0
ReLU,0,0.0,0.0,0,441.0,98.0,24.5,0.0,392.0,0.0,49.0,0,441.0,0,0,6352,28224.0,34576.0,100352.0
Convolution,25088.0,1568.0,23520.0,1568.0,0,0,0,32.0,392.0,0.0,1568.0,2.0,1994.0,204064,1440.0,0,0,205504.0,102760448.0
Convolution,50176.0,3136.0,48608.0,1568.0,0,0,0,64.0,1540.0,0.0,1568.0,2.0,3174.0,408128,1504.0,0,0,409632.0,205520896.0
ElemAdd,0,0.0,0.0,0,4704.0,0.0,98.0,0.0,3136.0,0.0,1568.0,0,4704.0,0,0,25368,301056.0,326424.0,401408.0
ReLU,0,0.0,0.0,0,1764.0,392.0,98.0,0.0,1568.0,0.0,196.0,0,1764.0,0,0,25408,112896.0,138304.0,401408.0
Convolution,25088.0,1568.0,24696.0,392.0,0,0,0,32.0,392.0,0.0,392.0,0.5,816.5,201544,2976.0,0,0,204520.0,102760448.0
ReLU,0,0.0,0.0,0,441.0,98.0,24.5,0.0,392.0,0.0,49.0,0,441.0,0,0,6352,28224.0,34576.0,100352.0
