Layer name,WBUF access,IBUF access,OBUF access,BUBF access,VMEM access,IMM access,InsMem access,DARM access filter,DRAM access ifmap,DRAM access psum,DRAM access ofmap,DRAM access bias,total DRAM access,SA compute cycles,SA stall cycles,SIMD compute cycles,SIMD stall cycles,total cycles,Op count
Convolution,314703872.0,19668992.0,77873152.0,802816.0,0,0,0,98.0,4917248.0,9633792.0,802816.0,0.25,15353954.25,632041984,74820096.0,0,0,706862080.0,322256764928.0
BatchNorm,0,0.0,0.0,0,19267585.5,0.0,401408.1875,0.0,15253506.75,0.0,0.0,0,15253506.75,0,0,102760496.0,488112216.0,590872712.0,1644167936.0
ReLU,0,0.0,0.0,0,1605632.0,802816.0,50176.0,0.0,802816.0,0.0,802816.0,0,1605632.0,0,0,12988416,51380224.0,64368640.0,205520896.0
MaxPool,0,0.0,0.0,0,5318656.0,0.0,112896.0,0.0,1806336.0,0.0,100352.0,0,1906688.0,0,0,28964096,61014016.0,89978112.0,462422016.0
Convolution,6422528.0,401408.0,1404928.0,200704.0,0,0,0,8.0,100352.0,0.0,200704.0,0.25,301064.25,12939136,6144.0,0,0,12945280.0,6576668672.0
BatchNorm,0,0.0,0.0,0,4816897.5,0.0,100352.1875,0.0,3813378.75,0.0,0.0,0,3813378.75,0,0,25690160.0,122028120.0,147718280.0,411042560.0
ReLU,0,0.0,0.0,0,301056.0,200704.0,12544.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,3247104,9633792.0,12880896.0,51380224.0
Convolution,57802752.0,3612672.0,14249984.0,200704.0,0,0,0,72.0,602112.0,802816.0,200704.0,0.25,1605704.25,115887744,8192.0,0,0,115895936.0,59190018048.0
BatchNorm,0,0.0,0.0,0,4816897.5,0.0,100352.1875,0.0,3813378.75,0.0,0.0,0,3813378.75,0,0,25690160.0,122028120.0,147718280.0,411042560.0
ReLU,0,0.0,0.0,0,301056.0,200704.0,12544.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,3247104,9633792.0,12880896.0,51380224.0
Convolution,25690112.0,1605632.0,5619712.0,802816.0,0,0,0,32.0,100352.0,0.0,802816.0,1.0,903201.0,51756544,5152.0,0,0,51761696.0,26306674688.0
BatchNorm,0,0.0,0.0,0,19267590.0,0.0,401408.75,0.0,15253515.0,0.0,0.0,0,15253515.0,0,0,102760640.0,488112480.0,590873120.0,1644170240.0
Convolution,25690112.0,1605632.0,5619712.0,802816.0,0,0,0,32.0,100352.0,0.0,802816.0,1.0,903201.0,51756544,5152.0,0,0,51761696.0,26306674688.0
BatchNorm,0,0.0,0.0,0,19267590.0,0.0,401408.75,0.0,15253515.0,0.0,0.0,0,15253515.0,0,0,102760640.0,488112480.0,590873120.0,1644170240.0
ElemAdd,0,0.0,0.0,0,2408448.0,0.0,50176.0,0.0,1605632.0,0.0,802816.0,0,2408448.0,0,0,12970496,77070336.0,90040832.0,205520896.0
ReLU,0,0.0,0.0,0,1204224.0,802816.0,50176.0,0.0,802816.0,0.0,401408.0,0,1204224.0,0,0,12988416,38535168.0,51523584.0,205520896.0
Convolution,25690112.0,1605632.0,6221824.0,200704.0,0,0,0,32.0,401408.0,0.0,200704.0,0.25,602144.25,51568384,6144.0,0,0,51574528.0,26306674688.0
BatchNorm,0,0.0,0.0,0,4816897.5,0.0,100352.1875,0.0,3813378.75,0.0,0.0,0,3813378.75,0,0,25690160.0,122028120.0,147718280.0,411042560.0
ReLU,0,0.0,0.0,0,301056.0,200704.0,12544.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,3247104,9633792.0,12880896.0,51380224.0
Convolution,57802752.0,3612672.0,14249984.0,200704.0,0,0,0,72.0,602112.0,802816.0,200704.0,0.25,1605704.25,115887744,8192.0,0,0,115895936.0,59190018048.0
BatchNorm,0,0.0,0.0,0,4816897.5,0.0,100352.1875,0.0,3813378.75,0.0,0.0,0,3813378.75,0,0,25690160.0,122028120.0,147718280.0,411042560.0
ReLU,0,0.0,0.0,0,301056.0,200704.0,12544.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,3247104,9633792.0,12880896.0,51380224.0
Convolution,25690112.0,1605632.0,5619712.0,802816.0,0,0,0,32.0,100352.0,0.0,802816.0,1.0,903201.0,51756544,5152.0,0,0,51761696.0,26306674688.0
BatchNorm,0,0.0,0.0,0,19267590.0,0.0,401408.75,0.0,15253515.0,0.0,0.0,0,15253515.0,0,0,102760640.0,488112480.0,590873120.0,1644170240.0
ElemAdd,0,0.0,0.0,0,2408448.0,0.0,50176.0,0.0,1605632.0,0.0,802816.0,0,2408448.0,0,0,12970496,77070336.0,90040832.0,205520896.0
ReLU,0,0.0,0.0,0,1204224.0,802816.0,50176.0,0.0,802816.0,0.0,401408.0,0,1204224.0,0,0,12988416,38535168.0,51523584.0,205520896.0
Convolution,25690112.0,1605632.0,6221824.0,200704.0,0,0,0,32.0,401408.0,0.0,200704.0,0.25,602144.25,51568384,6144.0,0,0,51574528.0,26306674688.0
BatchNorm,0,0.0,0.0,0,4816897.5,0.0,100352.1875,0.0,3813378.75,0.0,0.0,0,3813378.75,0,0,25690160.0,122028120.0,147718280.0,411042560.0
ReLU,0,0.0,0.0,0,301056.0,200704.0,12544.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,3247104,9633792.0,12880896.0,51380224.0
Convolution,57802752.0,3612672.0,14249984.0,200704.0,0,0,0,72.0,602112.0,802816.0,200704.0,0.25,1605704.25,115887744,8192.0,0,0,115895936.0,59190018048.0
BatchNorm,0,0.0,0.0,0,4816897.5,0.0,100352.1875,0.0,3813378.75,0.0,0.0,0,3813378.75,0,0,25690160.0,122028120.0,147718280.0,411042560.0
ReLU,0,0.0,0.0,0,301056.0,200704.0,12544.0,0.0,200704.0,0.0,100352.0,0,301056.0,0,0,3247104,9633792.0,12880896.0,51380224.0
Convolution,25690112.0,1605632.0,5619712.0,802816.0,0,0,0,32.0,100352.0,0.0,802816.0,1.0,903201.0,51756544,5152.0,0,0,51761696.0,26306674688.0
BatchNorm,0,0.0,0.0,0,19267590.0,0.0,401408.75,0.0,15253515.0,0.0,0.0,0,15253515.0,0,0,102760640.0,488112480.0,590873120.0,1644170240.0
ElemAdd,0,0.0,0.0,0,2408448.0,0.0,50176.0,0.0,1605632.0,0.0,802816.0,0,2408448.0,0,0,12970496,77070336.0,90040832.0,205520896.0
ReLU,0,0.0,0.0,0,1204224.0,802816.0,50176.0,0.0,802816.0,0.0,401408.0,0,1204224.0,0,0,12988416,38535168.0,51523584.0,205520896.0
Convolution,51380224.0,3211264.0,12443648.0,401408.0,0,0,0,64.0,401408.0,0.0,401408.0,0.5,802880.5,102948608,8192.0,0,0,102956800.0,52613349376.0
BatchNorm,0,0.0,0.0,0,9633795.0,0.0,200704.375,0.0,7626757.5,0.0,0.0,0,7626757.5,0,0,51380320.0,244056240.0,295436560.0,822085120.0
ReLU,0,0.0,0.0,0,602112.0,401408.0,25088.0,0.0,401408.0,0.0,200704.0,0,602112.0,0,0,6494208,19267584.0,25761792.0,102760448.0
